File_A,File_B,Note,DecisionTime,Category,freq,Cue,A Gain,B Gain,Age,Sex,Completed
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,0.02999999999999936,6.026,,2500,1.12,0,0,,,True
experiment data/SoundsForExperiment/-10_F2.wav,experiment data/SoundsForExperiment/15_F2.wav,3.1899999999999995,4.402,,2500,1.12,-10,15,,,
experiment data/SoundsForExperiment/15_F3.wav,experiment data/SoundsForExperiment/-10_F3.wav,-2.5999999999999996,4.847,,2500,1.12,15,-10,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,2.1899999999999995,5.097,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/-10_M1.wav,experiment data/SoundsForExperiment/15_M1.wav,3.2300000000000004,5.32,,2500,1.12,-10,15,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,4.130000000000001,5.863,,2500,1.12,-5,5,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/10_F1.wav,4.970000000000001,5.177,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,-0.09999999999999964,7.71,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,0.0,4.719,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/5_F3.wav,0.2400000000000002,8.213,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/5_M2.wav,experiment data/SoundsForExperiment/-5_M2.wav,-5.63,11.586,,2500,1.12,5,-5,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-0.07000000000000028,7.051,,2500,1.12,10,-5,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,6.390000000000001,10.787,,2500,1.12,-10,10,,,
experiment data/SoundsForExperiment/5_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,-3.37,5.206,,2500,1.12,5,-5,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,2.0500000000000007,5.009,,2500,1.12,-5,10,,,
