File_A,File_B,Note,DecisionTime,SpeakerGenre,Sentence,freq,Cue,A Gain,B Gain,NumberOfPlaysSoundA,NumberOfPlaysSoundB,Age,Sex,Completed
experiment data/SoundsForExperiment/0_F4.wav,experiment data/SoundsForExperiment/0_F4.wav,-0.02999999999999936,13.801,F,4,4000,0.6,0,0,2,1,,,True
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/-5_M2.wav,0.09999999999999964,6.415,M,2,4000,0.6,-10,-5,1,1,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,-0.07000000000000028,7.249,M,1,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/-10_F3.wav,-2.08,5.552,F,3,4000,0.6,0,-10,1,1,,,
experiment data/SoundsForExperiment/5_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-2.33,6.599,F,2,4000,0.6,5,-5,1,1,,,
experiment data/SoundsForExperiment/-10_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,-1.7699999999999996,5.787,F,1,4000,0.6,-10,0,1,1,,,
experiment data/SoundsForExperiment/10_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,-4.79,7.331,F,1,4000,0.6,10,-10,1,1,,,
experiment data/SoundsForExperiment/10_F6.wav,experiment data/SoundsForExperiment/0_F6.wav,-4.17,12.715,F,6,4000,0.6,10,0,2,2,,,
experiment data/SoundsForExperiment/-10_M6.wav,experiment data/SoundsForExperiment/10_M6.wav,6.420000000000002,7.188,M,6,4000,0.6,-10,10,1,1,,,
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,-0.07000000000000028,6.391,F,1,4000,0.6,0,0,1,1,,,
experiment data/SoundsForExperiment/-10_M4.wav,experiment data/SoundsForExperiment/5_M4.wav,2.7799999999999994,6.644,M,4,4000,0.6,-10,5,1,1,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-4.44,9.036,F,2,4000,0.6,10,-5,2,1,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-4.55,16.423,F,2,4000,0.6,0,-5,3,2,,,
experiment data/SoundsForExperiment/5_M5.wav,experiment data/SoundsForExperiment/0_M5.wav,-2.74,10.102,M,5,4000,0.6,5,0,2,2,,,
experiment data/SoundsForExperiment/-10_F5.wav,experiment data/SoundsForExperiment/10_F5.wav,3.92,11.171,F,5,4000,0.6,-10,10,2,2,,,
