File_A,File_B,Note,DecisionTime,Category,freq,Cue,A Gain,B Gain,Age,Sex,Completed
experiment data/SoundsForExperiment/-5_F3.wav,experiment data/SoundsForExperiment/-10_F3.wav,1.42,34.018,,2500,1.12,-5,-10,,,True
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,1.08,27.801,,2500,1.12,0,-5,,,
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/-10_M3.wav,2.26,13.606,,2500,1.12,-5,-10,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/-5_M3.wav,-1.8399999999999999,12.282,,2500,1.12,0,-5,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/-10_M1.wav,1.3900000000000006,19.099,,2500,1.12,-5,-10,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/5_F3.wav,2.08,9.473,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/5_F2.wav,experiment data/SoundsForExperiment/10_F2.wav,1.7400000000000002,142.36,,2500,1.12,5,10,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,2.2200000000000006,25.808,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/10_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,-1.25,13.011,,2500,1.12,10,5,,,
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/-5_M2.wav,2.92,14.027,,2500,1.12,-10,-5,,,
experiment data/SoundsForExperiment/-5_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,2.119999999999999,9.379,,2500,1.12,-5,0,,,
experiment data/SoundsForExperiment/5_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,-2.2199999999999998,32.722,,2500,1.12,5,10,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/-5_F3.wav,-2.95,12.713,,2500,1.12,0,-5,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,2.74,9.59,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/5_F1.wav,2.119999999999999,12.877,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,-2.95,26.398,,2500,1.12,-5,-10,,,
experiment data/SoundsForExperiment/-5_F2.wav,experiment data/SoundsForExperiment/-10_F2.wav,-2.74,41.274,,2500,1.12,-5,-10,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,-2.6399999999999997,16.975,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/5_M2.wav,experiment data/SoundsForExperiment/10_M2.wav,-2.4299999999999997,11.602,,2500,1.12,5,10,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,2.8499999999999996,20.066,,2500,1.12,0,-5,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/-5_M1.wav,-2.74,31.662,,2500,1.12,0,-5,,,
experiment data/SoundsForExperiment/5_F1.wav,experiment data/SoundsForExperiment/10_F1.wav,2.33,11.926,,2500,1.12,5,10,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,1.8800000000000008,27.676,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,1.5299999999999994,31.344,,2500,1.12,5,10,,,
