File_A,File_B,Note,DecisionTime,Category,freq,Cue,A Gain,B Gain,Age,Sex,Completed
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,-0.02999999999999936,73.83,,2500,1.12,0,5,,,True
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,-2.8499999999999996,36.884,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/-15_F3.wav,experiment data/SoundsForExperiment/15_F3.wav,-3.26,67.142,,2500,1.12,-15,15,,,
experiment data/SoundsForExperiment/10_M1.wav,experiment data/SoundsForExperiment/-10_M1.wav,-7.05,22.705,,2500,1.12,10,-10,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,-4.76,20.767,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,-4.9,29.865,,2500,1.12,-10,10,,,
experiment data/SoundsForExperiment/10_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,-4.69,34.452,,2500,1.12,10,-10,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/15_F3.wav,3.4700000000000006,27.243,,2500,1.12,-10,15,,,
experiment data/SoundsForExperiment/-15_M3.wav,experiment data/SoundsForExperiment/15_M3.wav,4.58,134.319,,2500,1.12,-15,15,,,
experiment data/SoundsForExperiment/-5_F3.wav,experiment data/SoundsForExperiment/5_F3.wav,-4.1,23.051,,2500,1.12,-5,5,,,
experiment data/SoundsForExperiment/15_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,4.029999999999999,18.78,,2500,1.12,15,-10,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,1.8399999999999999,13.706,,2500,1.12,5,0,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,0.6600000000000001,22.559,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/-5_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,-2.3600000000000003,35.718,,2500,1.12,-5,5,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/5_F1.wav,3.09,21.265,,2500,1.12,-5,5,,,
