File_A,File_B,Note,DecisionTime,Category,freq,Cue,A Gain,B Gain,Age,Sex,Completed
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,-4.31,9.38,,2500,1.12,0,5,,,True
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/-10_M3.wav,-0.02999999999999936,6.859,,2500,1.12,-5,-10,,,
experiment data/SoundsForExperiment/-5_F2.wav,experiment data/SoundsForExperiment/-10_F2.wav,-2.12,9.672,,2500,1.12,-5,-10,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,-4.44,19.619,,2500,1.12,5,0,,,
experiment data/SoundsForExperiment/-5_M2.wav,experiment data/SoundsForExperiment/-10_M2.wav,-4.72,13.002,,2500,1.12,-5,-10,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,4.93,6.063,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/-10_M1.wav,experiment data/SoundsForExperiment/-5_M1.wav,-0.07000000000000028,22.111,,2500,1.12,-10,-5,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,-6.67,7.359,,2500,1.12,10,5,,,
experiment data/SoundsForExperiment/10_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,-4.62,15.978,,2500,1.12,10,5,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/-5_M2.wav,-4.2,15.775,,2500,1.12,0,-5,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,3.26,11.748,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,-3.4000000000000004,6.034,,2500,1.12,-5,0,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,5.869999999999999,8.027,,2500,1.12,-5,0,,,
experiment data/SoundsForExperiment/-10_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,4.720000000000001,11.804,,2500,1.12,-10,-5,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/-5_F3.wav,4.1,12.933,,2500,1.12,0,-5,,,
experiment data/SoundsForExperiment/5_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,-1.2799999999999994,27.661,,2500,1.12,5,10,,,
experiment data/SoundsForExperiment/5_M3.wav,experiment data/SoundsForExperiment/10_M3.wav,2.5299999999999994,12.059,,2500,1.12,5,10,,,
experiment data/SoundsForExperiment/5_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,-3.58,13.831,,2500,1.12,5,0,,,
experiment data/SoundsForExperiment/10_F1.wav,experiment data/SoundsForExperiment/5_F1.wav,-3.0199999999999996,6.079,,2500,1.12,10,5,,,
experiment data/SoundsForExperiment/5_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,-3.16,6.226,,2500,1.12,5,0,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/-5_M3.wav,3.92,5.879,,2500,1.12,0,-5,,,
experiment data/SoundsForExperiment/-5_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,2.01,11.478,,2500,1.12,-5,0,,,
experiment data/SoundsForExperiment/10_F3.wav,experiment data/SoundsForExperiment/5_F3.wav,-0.09999999999999964,5.867,,2500,1.12,10,5,,,
experiment data/SoundsForExperiment/-5_F3.wav,experiment data/SoundsForExperiment/-10_F3.wav,2.08,5.871,,2500,1.12,-5,-10,,,
