File_A,File_B,Note,DecisionTime,SpeakerGenre,Sentence,freq,Cue,A Gain,B Gain,Age,Sex,Completed
experiment data/SoundsForExperiment/5_F6.wav,experiment data/SoundsForExperiment/10_F6.wav,0.0,7.067,F,6,4000,0.6,5,10,,,True
experiment data/SoundsForExperiment/-10_F6.wav,experiment data/SoundsForExperiment/0_F6.wav,5.0,6.723,F,6,4000,0.6,-10,0,,,
experiment data/SoundsForExperiment/10_F5.wav,experiment data/SoundsForExperiment/5_F5.wav,-0.2400000000000002,17.288,F,5,4000,0.6,10,5,,,
experiment data/SoundsForExperiment/0_F4.wav,experiment data/SoundsForExperiment/-5_F4.wav,0.07000000000000028,5.662,F,4,4000,0.6,0,-5,,,
experiment data/SoundsForExperiment/0_F4.wav,experiment data/SoundsForExperiment/0_F4.wav,-0.09999999999999964,5.672,F,4,4000,0.6,0,0,,,
experiment data/SoundsForExperiment/-10_M5.wav,experiment data/SoundsForExperiment/10_M5.wav,9.379999999999999,5.84,M,5,4000,0.6,-10,10,,,
experiment data/SoundsForExperiment/-5_F6.wav,experiment data/SoundsForExperiment/-10_F6.wav,-0.21000000000000085,6.894,F,6,4000,0.6,-5,-10,,,
experiment data/SoundsForExperiment/10_F6.wav,experiment data/SoundsForExperiment/-10_F6.wav,-7.67,6.641,F,6,4000,0.6,10,-10,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/5_F1.wav,-0.09999999999999964,5.41,F,1,4000,0.6,-5,5,,,
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/-5_M2.wav,0.02999999999999936,5.699,M,2,4000,0.6,-10,-5,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,0.0,5.879,M,2,4000,0.6,0,0,,,
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,-0.09999999999999964,6.306,F,1,4000,0.6,0,-5,,,
experiment data/SoundsForExperiment/0_M5.wav,experiment data/SoundsForExperiment/0_M5.wav,-0.09999999999999964,6.474,M,5,4000,0.6,0,0,,,
experiment data/SoundsForExperiment/10_F1.wav,experiment data/SoundsForExperiment/5_F1.wav,0.14000000000000057,6.539,F,1,4000,0.6,10,5,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,-0.09999999999999964,18.952,M,3,4000,0.6,0,5,,,
experiment data/SoundsForExperiment/-10_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,7.600000000000001,6.004,F,2,4000,0.6,-10,5,,,
experiment data/SoundsForExperiment/-5_M2.wav,experiment data/SoundsForExperiment/10_M2.wav,8.09,5.363,M,2,4000,0.6,-5,10,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,0.7599999999999998,6.047,F,3,4000,0.6,0,0,,,
experiment data/SoundsForExperiment/-10_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,3.960000000000001,5.819,M,1,4000,0.6,-10,10,,,
experiment data/SoundsForExperiment/10_M5.wav,experiment data/SoundsForExperiment/5_M5.wav,-1.6300000000000008,5.56,M,5,4000,0.6,10,5,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/-5_F3.wav,-3.4000000000000004,4.842,F,3,4000,0.6,5,-5,,,
experiment data/SoundsForExperiment/-5_F4.wav,experiment data/SoundsForExperiment/5_F4.wav,2.880000000000001,5.875,F,4,4000,0.6,-5,5,,,
experiment data/SoundsForExperiment/-5_M5.wav,experiment data/SoundsForExperiment/10_M5.wav,5.66,5.514,M,5,4000,0.6,-5,10,,,
experiment data/SoundsForExperiment/5_M6.wav,experiment data/SoundsForExperiment/-10_M6.wav,-3.6500000000000004,5.993,M,6,4000,0.6,5,-10,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/-10_M3.wav,-0.14000000000000057,4.698,M,3,4000,0.6,0,-10,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/-10_F3.wav,-2.95,5.035,F,3,4000,0.6,0,-10,,,
experiment data/SoundsForExperiment/5_M2.wav,experiment data/SoundsForExperiment/10_M2.wav,2.5299999999999994,9.967,M,2,4000,0.6,5,10,,,
experiment data/SoundsForExperiment/-10_M4.wav,experiment data/SoundsForExperiment/-5_M4.wav,1.8399999999999999,6.653,M,4,4000,0.6,-10,-5,,,
experiment data/SoundsForExperiment/0_F6.wav,experiment data/SoundsForExperiment/0_F6.wav,0.07000000000000028,6.917,F,6,4000,0.6,0,0,,,
experiment data/SoundsForExperiment/10_M3.wav,experiment data/SoundsForExperiment/-10_M3.wav,-4.55,5.805,M,3,4000,0.6,10,-10,,,
experiment data/SoundsForExperiment/5_F5.wav,experiment data/SoundsForExperiment/0_F5.wav,-0.16999999999999993,6.388,F,5,4000,0.6,5,0,,,
experiment data/SoundsForExperiment/10_F4.wav,experiment data/SoundsForExperiment/5_F4.wav,0.09999999999999964,5.512,F,4,4000,0.6,10,5,,,
experiment data/SoundsForExperiment/0_M5.wav,experiment data/SoundsForExperiment/10_M5.wav,5.210000000000001,5.661,M,5,4000,0.6,0,10,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/10_M2.wav,4.51,6.15,M,2,4000,0.6,0,10,,,
experiment data/SoundsForExperiment/-5_F4.wav,experiment data/SoundsForExperiment/10_F4.wav,5.17,6.081,F,4,4000,0.6,-5,10,,,
experiment data/SoundsForExperiment/0_M6.wav,experiment data/SoundsForExperiment/-5_M6.wav,-2.2199999999999998,6.357,M,6,4000,0.6,0,-5,,,
experiment data/SoundsForExperiment/5_M2.wav,experiment data/SoundsForExperiment/-10_M2.wav,-3.8899999999999997,5.162,M,2,4000,0.6,5,-10,,,
experiment data/SoundsForExperiment/0_M6.wav,experiment data/SoundsForExperiment/-10_M6.wav,-2.92,6.122,M,6,4000,0.6,0,-10,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/5_F3.wav,3.26,4.505,F,3,4000,0.6,0,5,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,8.3,5.126,F,3,4000,0.6,0,10,,,
experiment data/SoundsForExperiment/0_F5.wav,experiment data/SoundsForExperiment/10_F5.wav,4.76,6.488,F,5,4000,0.6,0,10,,,
experiment data/SoundsForExperiment/0_F5.wav,experiment data/SoundsForExperiment/0_F5.wav,-4.03,6.304,F,5,4000,0.6,0,0,,,
experiment data/SoundsForExperiment/-5_M6.wav,experiment data/SoundsForExperiment/5_M6.wav,5.17,6.589,M,6,4000,0.6,-5,5,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,-0.07000000000000028,5.567,F,1,4000,0.6,-5,-10,,,
experiment data/SoundsForExperiment/10_F4.wav,experiment data/SoundsForExperiment/-10_F4.wav,-4.48,5.673,F,4,4000,0.6,10,-10,,,
experiment data/SoundsForExperiment/0_M6.wav,experiment data/SoundsForExperiment/0_M6.wav,-0.02999999999999936,6.605,M,6,4000,0.6,0,0,,,
experiment data/SoundsForExperiment/10_F3.wav,experiment data/SoundsForExperiment/-5_F3.wav,-5.59,5.188,F,3,4000,0.6,10,-5,,,
experiment data/SoundsForExperiment/-5_M6.wav,experiment data/SoundsForExperiment/-10_M6.wav,-0.21000000000000085,6.366,M,6,4000,0.6,-5,-10,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,-5.07,11.037,F,2,4000,0.6,10,5,,,
experiment data/SoundsForExperiment/-10_F5.wav,experiment data/SoundsForExperiment/-5_F5.wav,-0.07000000000000028,6.229,F,5,4000,0.6,-10,-5,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-0.16999999999999993,5.616,F,2,4000,0.6,0,-5,,,
experiment data/SoundsForExperiment/0_F6.wav,experiment data/SoundsForExperiment/10_F6.wav,6.25,6.443,F,6,4000,0.6,0,10,,,
experiment data/SoundsForExperiment/-5_F5.wav,experiment data/SoundsForExperiment/0_F5.wav,1.8800000000000008,12.37,F,5,4000,0.6,-5,0,,,
experiment data/SoundsForExperiment/-5_F2.wav,experiment data/SoundsForExperiment/-10_F2.wav,-0.09999999999999964,5.848,F,2,4000,0.6,-5,-10,,,
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/-10_M3.wav,-3.37,4.933,M,3,4000,0.6,-5,-10,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,-0.14000000000000057,5.238,F,2,4000,0.6,0,0,,,
experiment data/SoundsForExperiment/-10_F5.wav,experiment data/SoundsForExperiment/5_F5.wav,5.140000000000001,5.884,F,5,4000,0.6,-10,5,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,1.67,5.799,M,2,4000,0.6,0,5,,,
experiment data/SoundsForExperiment/5_M4.wav,experiment data/SoundsForExperiment/-5_M4.wav,-6.49,6.448,M,4,4000,0.6,5,-5,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-5.97,6.092,F,2,4000,0.6,10,-5,,,
experiment data/SoundsForExperiment/0_F5.wav,experiment data/SoundsForExperiment/-10_F5.wav,-2.8499999999999996,6.538,F,5,4000,0.6,0,-10,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,-1.08,12.332,M,1,4000,0.6,-5,0,,,
experiment data/SoundsForExperiment/5_M2.wav,experiment data/SoundsForExperiment/-5_M2.wav,-2.7800000000000002,5.671,M,2,4000,0.6,5,-5,,,
experiment data/SoundsForExperiment/5_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,-3.58,5.25,M,1,4000,0.6,5,0,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/-10_M1.wav,-7.26,5.692,M,1,4000,0.6,0,-10,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/-10_F3.wav,-8.82,5.171,F,3,4000,0.6,5,-10,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/-10_M1.wav,-0.09999999999999964,6.779,M,1,4000,0.6,-5,-10,,,
