File_A,File_B,Note,DecisionTime,Category,freq,Cue,A Gain,B Gain,Age,Sex,Completed
experiment data/SoundsForExperiment/5_F1.wav,experiment data/SoundsForExperiment/-5_F1.wav,0.2400000000000002,12.455,,2500,1.12,5,-5,,,True
experiment data/SoundsForExperiment/10_M1.wav,experiment data/SoundsForExperiment/-10_M1.wav,0.9700000000000006,8.648,,2500,1.12,10,-10,,,
experiment data/SoundsForExperiment/10_M3.wav,experiment data/SoundsForExperiment/-5_M3.wav,-0.9399999999999995,14.248,,2500,1.12,10,-5,,,
experiment data/SoundsForExperiment/-5_F1.wav,experiment data/SoundsForExperiment/10_F1.wav,0.5600000000000005,9.395,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/5_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,-0.8300000000000001,9.29,,2500,1.12,5,-5,,,
experiment data/SoundsForExperiment/10_F1.wav,experiment data/SoundsForExperiment/-10_F1.wav,-1.7699999999999996,16.335,,2500,1.12,10,-10,,,
experiment data/SoundsForExperiment/-5_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,2.4000000000000004,7.628,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/0_M2.wav,1.3900000000000006,11.866,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/0_M3.wav,experiment data/SoundsForExperiment/0_M3.wav,1.8100000000000005,6.885,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/-10_M2.wav,experiment data/SoundsForExperiment/10_M2.wav,-1.9800000000000004,8.473,,2500,1.12,-10,10,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/5_F3.wav,-0.02999999999999936,20.508,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/5_F1.wav,1.42,15.899,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/5_F3.wav,experiment data/SoundsForExperiment/-5_F3.wav,0.8699999999999992,14.015,,2500,1.12,5,-5,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/10_M1.wav,3.0199999999999996,19.68,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/-5_M3.wav,experiment data/SoundsForExperiment/5_M3.wav,1.3900000000000006,7.467,,2500,1.12,-5,5,,,
experiment data/SoundsForExperiment/10_M3.wav,experiment data/SoundsForExperiment/-10_M3.wav,-2.05,7.818,,2500,1.12,10,-10,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/0_F2.wav,0.9700000000000006,6.396,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/-5_M2.wav,experiment data/SoundsForExperiment/10_M2.wav,0.8699999999999992,9.313,,2500,1.12,-5,10,,,
experiment data/SoundsForExperiment/-10_F2.wav,experiment data/SoundsForExperiment/10_F2.wav,-0.14000000000000057,7.374,,2500,1.12,-10,10,,,
experiment data/SoundsForExperiment/-10_F3.wav,experiment data/SoundsForExperiment/10_F3.wav,1.1799999999999997,6.528,,2500,1.12,-10,10,,,
experiment data/SoundsForExperiment/0_F3.wav,experiment data/SoundsForExperiment/0_F3.wav,0.9700000000000006,13.63,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/0_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,2.33,7.545,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/0_F1.wav,experiment data/SoundsForExperiment/0_F1.wav,0.07000000000000028,7.918,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/0_F2.wav,experiment data/SoundsForExperiment/5_F2.wav,2.01,7.622,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/0_M1.wav,-0.8300000000000001,20.87,,2500,1.12,0,0,,,
experiment data/SoundsForExperiment/-5_M2.wav,experiment data/SoundsForExperiment/5_M2.wav,1.6300000000000008,16.017,,2500,1.12,-5,5,,,
experiment data/SoundsForExperiment/10_F2.wav,experiment data/SoundsForExperiment/-5_F2.wav,1.67,17.018,,2500,1.12,10,-5,,,
experiment data/SoundsForExperiment/-5_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,1.67,20.199,,2500,1.12,-5,5,,,
experiment data/SoundsForExperiment/0_M1.wav,experiment data/SoundsForExperiment/5_M1.wav,-1.0399999999999991,13.824,,2500,1.12,0,5,,,
experiment data/SoundsForExperiment/5_M3.wav,experiment data/SoundsForExperiment/0_M3.wav,1.0099999999999998,12.025,,2500,1.12,5,0,,,
